SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Drigg,,DR02,UMK-Unpasteurised Milk,15/02/2023,23-769,NA,NA,6.1±4.0,17±2.8,NA,NA,0.022±0.016,NA,NA,NA,NA,NA,NA,<0.000042,<0.26,0.000010±0.0000078,NA,<0.000042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,DR02,UMK-Unpasteurised Milk,15/03/2023,23-480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55±4.8,NA,NA,NA,NA,<0.02,NA,<0.03,<0.07,<0.05,<0.03,<0.22,<0.03,NA,<0.06,NA,<0.02,0.09±0.03,<0.20,<0.07,<0.12,NA
Drigg,,DR02,UMK-Unpasteurised Milk,01/04/2023,23-1269,NA,NA,NA,NA,NA,NA,NA,<0.0075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,DR02,UMK-Unpasteurised Milk,12/04/2023,23-636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61±4.9,NA,NA,NA,NA,<0.05,NA,<0.05,<0.08,<0.10,<0.08,<0.39,<0.06,NA,<0.12,NA,<0.04,<0.04,<0.22,<0.15,<0.14,NA
Drigg,,DR02,UMK-Unpasteurised Milk,10/05/2023,23-878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±4.6,NA,NA,NA,NA,<0.02,NA,<0.04,<0.04,<0.06,<0.05,<0.23,<0.03,NA,<0.06,NA,<0.02,0.08±0.03,<0.20,<0.07,<0.12,NA
Drigg,,DR02,UMK-Unpasteurised Milk,14/06/2023,23-1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.7,NA,NA,NA,NA,<0.04,NA,<0.05,<0.05,<0.06,<0.08,<0.33,<0.05,NA,<0.08,NA,<0.04,0.13±0.05,<0.30,<0.12,<0.19,NA
Drigg,,DR02,UMK-Unpasteurised Milk,14/06/2023,23-1094,NA,NA,<1.1,22±2.8,NA,NA,0.019±0.015,NA,NA,NA,NA,NA,NA,<0.000064,<0.23,0.0000085±0.0000059,NA,<0.000037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,DR02,UMK-Unpasteurised Milk,19/07/2023,23-1270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±4.5,NA,NA,NA,NA,<0.02,NA,<0.03,<0.06,<0.05,<0.04,<0.22,<0.03,NA,<0.06,NA,<0.02,0.14±0.04,<0.20,<0.07,<0.12,NA
Drigg,,DR02,UMK-Unpasteurised Milk,09/08/2023,23-1414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.7,NA,NA,NA,NA,<0.04,NA,<0.05,<0.06,<0.08,<0.05,<0.36,<0.05,NA,<0.15,NA,<0.04,0.13±0.05,<0.23,<0.13,<0.10,NA
Drigg,,DR02,UMK-Unpasteurised Milk,15/08/2023,23-1934,NA,NA,<1.2,22±5.4,NA,NA,<0.029,NA,NA,NA,NA,NA,NA,<0.000041,<0.20,0.000027±0.000014,NA,<0.000041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,DR02,UMK-Unpasteurised Milk,20/09/2023,23-1776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.7,NA,NA,NA,NA,<0.05,NA,<0.05,<0.04,<0.07,<0.03,<0.33,<0.05,NA,<0.09,NA,<0.04,0.13±0.07,<0.21,<0.13,<0.10,NA
Drigg,,DR02,UMK-Unpasteurised Milk,11/10/2023,23-2042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.6,NA,NA,NA,NA,<0.02,NA,<0.04,<0.06,<0.06,<0.06,<0.23,<0.03,NA,<0.06,NA,<0.02,0.08±0.03,<0.21,<0.08,<0.23,NA
Drigg,,DR02,UMK-Unpasteurised Milk,13/12/2023,23-2467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48±3.9,NA,NA,NA,NA,<0.07,NA,<0.06,<0.09,<0.12,<0.07,<0.51,<0.08,NA,<0.13,NA,<0.09,<0.10,<0.25,<0.21,<0.12,NA
