SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,I-125,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Sizewell,,SI91,UMK-Unpasteurised Milk,08/01/2021,20-2380,NA,NA,<3.4,13±1.2,NA,<0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.1,NA,NA,NA,NA,<0.04,NA,<0.05,<0.10,<0.10,<0.09,<0.31,<0.05,NA,<0.09,NA,<0.03,<0.03,<0.20,<0.11,<0.09,NA
Sizewell,R Alde - Martello Tower,,MUS - Blue (edible) mussel,08/05/2020,20-146,NA,<25,<25,17±3.6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00054±0.000080,NA,0.0030±0.00025,ND,0.0034±0.00025,0.000037±0.000020,13±1.6,ND,<0.09,<0.09,<0.97,<0.05,<0.26,<0.43,ND,<5.3,ND,<0.80,<0.16,<4.0,<0.19,ND,<0.07,<0.05,<1.4,<0.14,<0.18,<0.19
Sizewell,Sizewell Fish,,CRE - Edible crab,12/05/2020,20-591,NA,<25,<25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64±5.0,<4.8,<0.09,<0.06,<0.17,<0.08,<0.33,<0.19,<0.41,<0.33,<0.35,<0.82,<0.12,<0.45,<0.20,ND,<0.05,<0.08,<0.51,<0.25,<0.21,<0.39
Sizewell,Sizewell Fish,,SOL - Sole (Dover sole),12/05/2020,20-592,NA,<25,<25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100±7.3,<2.4,<0.04,<0.03,<0.07,<0.04,<0.11,<0.07,<0.19,<0.14,<0.16,<0.34,<0.05,<0.17,<0.10,ND,<0.04,0.11±0.05,<0.24,<0.12,<0.10,<0.11
Sizewell,Sizewell Fish,,SPR - Sprat,22/01/2020,20-87,NA,<25,<25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100±7.7,<0.65,<0.06,<0.05,<0.06,<0.07,<0.16,<0.08,<0.07,<0.12,<0.08,<0.57,<0.08,<0.13,<0.18,<0.21,<0.07,0.11±0.08,<0.37,<0.20,<0.19,<0.21
South East,,SO04,UMK-Unpasteurised Milk,22/01/2020,20-121,NA,NA,NA,NA,NA,NA,<0.049,NA,NA,<0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,12/02/2020,20-220,NA,NA,NA,NA,NA,NA,0.021±0.017,NA,NA,<0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,11/03/2020,20-400,NA,NA,NA,NA,NA,NA,0.019±0.015,NA,NA,<0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,28/04/2020,20-497,NA,NA,NA,NA,NA,NA,0.019±0.016,NA,NA,<0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,19/05/2020,20-564,NA,NA,NA,NA,NA,NA,<0.025,NA,NA,<0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,10/06/2020,20-670,NA,NA,NA,NA,NA,NA,0.035±0.032,NA,NA,<0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,10/06/2020,20-672,NA,NA,NA,11±1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,08/07/2020,20-1121,NA,NA,NA,NA,NA,NA,0.020±0.014,NA,NA,<0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,12/08/2020,20-1347,NA,NA,NA,NA,NA,NA,0.021±0.013,NA,NA,<0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,16/09/2020,20-1547,NA,NA,NA,NA,NA,NA,0.015±0.014,NA,NA,<0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,14/10/2020,20-1829,NA,NA,NA,NA,NA,NA,0.021±0.013,NA,NA,<0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,11/11/2020,20-2033,NA,NA,NA,NA,NA,NA,0.037±0.032,NA,NA,<0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South East,,SO04,UMK-Unpasteurised Milk,16/12/2020,20-2303,NA,NA,NA,NA,NA,NA,0.020±0.016,NA,NA,<0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
